c_number,name,formula,exact_mass,mol_weight,pathway,reaction,enzyme,description
C00803,Pentanoate;,C5H10O2,102.0681,102.13,,R02938,3.5.1.50,
C00804,Propynoate;,C3H2O2,70.0055,70.05,map00410  beta-Alanine metabolism,R01611 R02940 R03535,1.2.1.3         1.2.5.2         4.2.1.27,
C00805,Salicylate;,C7H6O3,138.0317,138.12,map00621  Dioxin degradation,R00818 R02941 R02942 R05360 R05537 R06602 R06603 R06925,1.2.1.65        1.2.1.-         1.14.13.1       1.14.13.172,
C00806,Tryptophan;,C11H12N2O2,204.0899,204.22,,R02943,2.5.1.34,
C00807,Xyloglucan,,,,,,,
C00808,(+)-Camphor;,C10H16O,152.1201,152.23,map00902  Monoterpenoid biosynthesis,R02944 R03818 R10045 R10047,1.1.1.198       1.14.13.161     1.14.15.1       1.14.15.10,
C00809,(-)-Camphor;,C10H16O,152.1201,152.23,"map00907  Pinene, camphor and geraniol degradation",R02945 R13092,1.1.1.227       1.14.15.1,
C00810,(R)-Acetoin;,C4H8O2,88.0524,88.11,map00650  Butanoate metabolism,R02855 R02856 R02946 R02948 R02949 R10505 R13177,1.1.1.4         1.1.1.303       1.1.1.-         2.3.1.190,
C00811,4-Coumarate;,C9H8O3,164.0473,164.16,map00130  Ubiquinone and other terpenoid-quinone biosynthesis,R00737 R01308 R01616 R02253 R02950 R02951 R02952 R07826,1.3.8.15        1.14.13.-       1.14.14.91      1.14.18.1,
C00812,Alkyl thiol,HSR,,,,R02953,4.4.1.13,
C00813,Barbiturate;,C4H4N2O3,128.0222,128.09,map00240  Pyrimidine metabolism,R00976 R02139,1.17.99.4       3.5.2.1,
C00814,Biochanin A,C16H12O5,284.0685,284.26,map00943  Isoflavonoid biosynthesis,R02931 R02954 R06561 R06795 R07776,1.3.1.46        1.14.14.88      1.14.14.90      2.1.1.46,
C00815,Citramalate;,C5H8O5,148.0372,148.11,,R02955,2.8.3.11,
C00816,Collagenase,,,,,,,
C00817,D-Altronate,C6H12O7,196.0583,196.16,map00040  Pentose and glucuronate interconversions,R01540 R02555,1.1.1.58        4.2.1.7,
C00818,D-Glucarate;,C6H10O8,210.0376,210.14,map00053  Ascorbate and aldarate metabolism,R02752 R02899 R02957 R02998 R08056 R09447,1.2.1.3         2.3.1.98        2.3.1.131       4.2.1.40,
C00819,D-Glutamine;,C5H10N2O3,146.0691,146.14,map00470  D-Amino acid metabolism,R00579 R01579 R02959 R04012,2.3.2.1         3.5.1.2         3.5.1.35        3.5.1.38,
C00820,D-Threonine;,C4H9NO3,119.0582,119.12,map00470  D-Amino acid metabolism,R01467 R08195,4.1.2.42        5.1.1.6,
C00821,DNA adenine;,C10H14N5O6P(C5H8O5PR)n(C5H8O5PR)n,,,,R02960 R02961 R03904 R11345,1.14.11.51      2.1.1.72        2.6.99.1        4.3.2.4,
C00822,Dopaquinone,C9H9NO4,195.0532,195.17,map00350  Tyrosine metabolism,R00045 R02078 R02962 R03672 R08848,1.10.3.1        1.14.18.1,
C00823,1-Hexadecanol;,C16H34O,242.2610,242.44,map00071  Fatty acid degradation,R02462,1.1.1.164       1.1.1.192,
C00824,Iron-sulfur;,,,,,,,
C00825,Kanamycin B;,C18H37N5O10,483.2540,483.51,"map00524  Neomycin, kanamycin and gentamicin biosynthesis",R01889 R10312 R10425 R11270 R11279,1.14.11.37      2.3.1.82        2.4.1.301       2.6.1.94,
C00826,L-Arogenate;,C10H13NO5,227.0794,227.21,"map00400  Phenylalanine, tyrosine and tryptophan biosynthesis",R00691 R00732 R00733 R01731 R07276,1.3.1.43        1.3.1.78        1.3.1.79        2.6.1.57,
C00827,Lactoyl-CoA,C24H40N7O18P3S,839.1363,839.60,map00640  Propanoate metabolism,R01449 R02963 R05508,2.8.3.1         4.2.1.54,
C00828,Menaquinone;,C16H16O2(C5H8)n,,,map00130  Ubiquinone and other terpenoid-quinone biosynthesis,R02964 R02965 R08596 R09445 R09492 R09501 R09992 R10149,1.6.5.2         1.7.5.2         1.8.5.3         1.8.5.5,
C00829,Naphthalene,C10H8,128.0626,128.17,map00626  Naphthalene degradation,R02968 R07000 R07001,1.14.12.12      1.14.14.1       1.14.14.-,
C00830,Oxomalonate;,C3H2O5,117.9902,118.04,,R02969 R02970,1.1.1.167       2.6.1.47,
C00831,Pantetheine;,C11H22N2O4S,278.1300,278.37,map00332  Carbapenem biosynthesis,R02971 R02972 R02973 R10748 R10749,2.7.1.33        2.7.1.34        3.1.3.110       3.5.1.92,
C00832,Paromomycin;,C23H45N5O14,615.2963,615.63,"map00524  Neomycin, kanamycin and gentamicin biosynthesis",R11286,5.1.3.-,
C00835,Sepiapterin,C9H11N5O3,237.0862,237.22,map00790  Folate biosynthesis,R02974 R02975 R09989 R11766,1.1.1.153       1.1.1.184       1.1.1.325       3.5.4.24,
C00836,Sphinganine;,C18H39NO2,301.2981,301.51,map00600  Sphingolipid metabolism,R02976 R02978 R02979 R06517 R06518 R06520 R06525,1.1.1.102       1.3.99.-        1.14.18.5       2.3.1.24,
C00837,Streptidine,C8H18N6O4,262.1390,262.27,,,,
C00839,Tropomyosin;,C4H6N2O3R2,,,,R02980,2.7.11.28,
C00840,Vasopressin;,,,,,,,
C00841,Xanthotoxol;,C11H6O4,202.0266,202.16,map00999  Biosynthesis of various plant secondary metabolites,R02982 R08999 R12887,1.14.14.-       2.1.1.70,
C00842,dTDP-glucose;,C16H26N2O16P2,564.0758,564.33,map00521  Streptomycin biosynthesis,R02328 R02983 R02984 R06513 R11471,1.1.1.-         2.7.7.24        4.2.1.46        5.1.3.2,
C00843,(-)-Menthone;,C10H18O,154.1358,154.25,map00902  Monoterpenoid biosynthesis,R02177 R02548 R06419 R08925,1.1.1.207       1.1.1.208       1.3.1.81        1.14.13.105,
C00844,Prunasin;,C14H17NO6,295.1056,295.29,map00460  Cyanoamino acid metabolism,R02558 R02985 R10638 R10639,2.4.1.354       3.2.1.21        3.2.1.117       3.2.1.118,
C00845,2-Furoyl-CoA,C26H38N7O18P3S,861.1207,861.60,map00365  Furfural degradation,R02986 R02987,1.3.99.8        6.2.1.31,
C00846,3-Oxoadipate;,C6H8O5,160.0372,160.12,map00362  Benzoate degradation,R02988 R02989 R02990 R02991 R13360,1.3.1.32        2.3.1.318       2.8.3.6         3.1.1.24,
C00847,4-Pyridoxate;,C8H9NO4,183.0532,183.16,map00750  Vitamin B6 metabolism,R01709 R02992 R02993,1.1.99.42       1.2.3.1         1.2.3.8         3.1.1.27,
C00848,6-Oxocineole;,C10H16O2,168.1150,168.23,map00902  Monoterpenoid biosynthesis,R02994 R02995,1.1.1.241       1.14.13.51,
C00849,Ethyl acetate,C4H8O2,88.0524,88.11,,R11957 R12515,2.3.1.268       3.1.1.113,
C00850,Aryl sulfate;,C6H6O4S,173.9987,174.18,,R01242 R01243 R02996,2.8.2.1         2.8.2.22        3.1.6.1,
C00852,Chlorogenate;,C16H18O9,354.0951,354.31,map00940  Phenylpropanoid biosynthesis,R01945 R02997 R02998 R04342 R13431,1.14.14.96      2.3.1.98        2.3.1.99        2.3.1.133,
C00853,Cob(I)alamin;,C62H89CoN13O14P,1329.5722,1330.35,map00860  Porphyrin metabolism,R00099 R01492 R02999 R07668 R13182 R13183 R13409,1.16.1.6        2.1.1.106       2.1.1.308       2.1.1.326,
C00854,Cyclohexanol;,C6H12O,100.0888,100.16,map00930  Caprolactam degradation,R02229 R06945,1.1.1.163       1.1.1.245       1.14.13.-       1.14.15.3,
C00855,D-Methionine;,C5H11NO2S,149.0511,149.21,map00470  D-Amino acid metabolism,R00655 R03001,2.6.1.41        5.1.1.2,
C00856,DNA cytosine;,C9H14N3O7P(C5H8O5PR)n(C5H8O5PR)n,,,,R03003 R04858,2.1.1.37        2.1.1.113,
C00857,Deamino-NAD+;,C21H27N6O15P2,665.1010,665.42,map00760  Nicotinate and nicotinamide metabolism,R00189 R00257 R03004 R03005 R12017,2.5.1.143       2.7.7.1         2.7.7.18        3.6.1.9,
C00858,Formononetin,C16H12O4,268.0736,268.26,map00943  Isoflavonoid biosynthesis,R03006 R06560 R06564 R07723 R07729 R07733,1.14.14.88      1.14.14.89      1.14.14.90      2.1.1.46,
C00859,Gibberellin A1;,C19H24O6,348.1573,348.39,map00904  Diterpenoid biosynthesis,R03008 R03009 R06619,1.14.11.13      1.14.11.15,
C00860,L-Histidinol,C6H11N3O,141.0902,141.17,map00340  Histidine metabolism,R01158 R03012 R03013,1.1.1.23        3.1.3.15,
C00861,L-Rhamnulose;,C6H12O5,164.0685,164.16,map00051  Fructose and mannose metabolism,R02437 R03014,2.7.1.5         5.3.1.14,
C00862,Methanofuran;,C34H44N4O15,748.2803,748.73,map00680  Methane metabolism,R03015 R03390 R08060,1.2.7.12        2.3.1.101,
C00863,Monoterpenol,HOR,,,,R03016 R03017,2.3.1.69        3.1.7.3,
C00864,Pantothenate;,C9H17NO5,219.1107,219.23,map00410  beta-Alanine metabolism,R02473 R02474 R02973 R03018 R03927 R10752 R10821,2.7.1.33        3.5.1.22        3.5.1.92        3.5.1.-,
C00865,Phospholipid,C5H6O8PR3,,,map02010  ABC transporters,R05333,2.3.1.158,
C00868,tRNA uridine;,C9H13N2O9P(C5H8O6PR)n(C5H8O6PR)n,,,map04122  Sulfur relay system,R03019 R03020 R08700 R10232,2.5.1.25        2.8.1.13        3.5.4.35        5.4.99.12,
C00869,2-Oxooctadecanoic acid;,C18H34O3,298.2508,298.46,,R03021 R03022,1.1.1.98        1.1.1.99,
C00870,4-Nitrophenol;,C6H5NO3,139.0269,139.11,map00627  Aminobenzoate degradation,R03023 R03024 R05258 R05421 R05548,1.14.13.29      1.14.13.167     3.1.3.1         3.1.3.2,
C00871,Alkylated DNA,C10H17O8PR2(C5H8O5PR)n,,,,,,
C00872,Aminomalonate;,C3H5NO4,119.0219,119.08,,R02970,2.6.1.47,
C00873,Angiotensin I,C62H89N17O14,1295.6775,1296.48,map04614  Renin-angiotensin system,,,
C00875,Cephalosporin,C8H8N2O3SR2,,,,,,
C00876,Coenzyme F420;,C29H36N5O18P,773.1793,773.59,map00680  Methane metabolism,R03025 R04456 R04464 R05459 R09192 R09400 R09401 R09550,1.1.98.2        1.1.98.4        1.1.98.5        1.3.98.4,
C00877,Crotonoyl-CoA;,C25H40N7O17P3S,835.1414,835.61,map00071  Fatty acid degradation,R01171 R01175 R02487 R02488 R03026 R03027 R03028 R03030,1.3.1.44        1.3.1.85        1.3.1.86        1.3.1.109,
C00878,D-Arabinonate;,C5H10O6,166.0477,166.13,map00053  Ascorbate and aldarate metabolism,R02714 R03032,3.1.1.30        4.2.1.5,
C00879,D-Galactarate;,C6H10O8,210.0376,210.14,map00053  Ascorbate and aldarate metabolism,R01981 R03727 R05608 R11077,2.3.1.130       4.2.1.42        4.2.1.158,
C00880,D-Galactonate;,C6H12O7,196.0583,196.16,map00052  Galactose metabolism,R01098 R03033 R03034 R10604,1.1.3.9         3.1.1.25        4.2.1.6         4.2.1.140,
C00881,Deoxycytidine;,C9H13N3O4,227.0906,227.22,map00240  Pyrimidine metabolism,R01664 R01666 R02321 R02485,2.7.1.74        2.7.1.145       2.7.1.213       3.1.3.5,
C00882,Dephospho-CoA;,C21H35N7O13P2S,687.1489,687.56,map00770  Pantothenate and CoA biosynthesis,R00130 R03035 R03036 R09675 R12608,2.4.2.52        2.7.1.24        2.7.1.237       2.7.7.3,
C00883,Galactomannan;,C18H32O16,504.1690,504.44,,,,
C00884,Homocarnosine;,C10H16N4O3,240.1222,240.26,map00330  Arginine and proline metabolism,R01991 R01992,3.4.13.18       3.4.13.20       6.3.2.11,
C00885,Isochorismate;,C10H10O6,226.0477,226.18,map00130  Ubiquinone and other terpenoid-quinone biosynthesis,R01717 R03037 R06602 R08165,2.2.1.9         3.3.2.1         4.2.99.21       5.4.4.2,
C00886,L-Alanyl-tRNA;,C13H22NO11PR2(C5H8O6PR)n,,,map00970  Aminoacyl-tRNA biosynthesis,R00165 R03038 R03039 R04613 R08779 R08780,2.3.2.10        2.3.2.11        2.3.2.-         6.1.1.7,
C00887,Nitrous oxide;,N2O,44.0011,44.01,map00910  Nitrogen metabolism,R00294 R02492 R02804 R09445 R09446 R09808 R09809,1.7.1.14        1.7.2.4         1.7.2.5         1.7.5.2,
C00888,Pentanoyl-CoA;,C26H44N7O17P3S,851.1727,851.65,map00630  Glyoxylate and dicarboxylate metabolism,R03040,2.3.3.12,
C00889,Peptidoglycan;,(C32H48N6O18R2)n,,,,,,
C00891,Pregnan-21-al,C21H34O,302.2610,302.49,,R03043 R03044,1.1.1.150       1.1.1.151,
C00892,Pregnan-21-ol;,C21H36O,304.2766,304.51,,R03043 R03044,1.1.1.150       1.1.1.151,
C00893,Primary monoamine,NH2R,,,,,,
C00894,Propenoyl-CoA;,C24H38N7O17P3S,821.1258,821.58,map00410  beta-Alanine metabolism,R00919 R02963 R03045 R03046 R04432 R05509 R10161 R12356,1.3.1.84        1.3.1.95        1.3.1.-         1.3.3.6,
C00895,RNA (poly(A));,C20H25N10O10P(C10H12N5O6P)n,,,,,,
C00896,Tos-Lys-CH2Cl,C14H21ClN2O3S,332.0961,332.85,,,,
C00897,alpha-Maltose;,C12H22O11,342.1162,342.30,,R07319,5.1.3.21,
C00898,"(R,R)-Tartaric acid;",C4H6O6,150.0164,150.09,map00630  Glyoxylate and dicarboxylate metabolism,R00339 R01751 R02546 R06180,1.1.1.93        4.1.1.73        4.2.1.32        5.1.2.5,
C00899,11-cis-Retinol,C20H30O,286.2297,286.45,map00830  Retinol metabolism,R02369 R03048 R03049 R08380 R08381 R08388 R08389,1.1.1.315       1.1.1.-         2.3.1.76        2.3.1.135,
C00900,2-Acetolactate;,C5H8O4,132.0423,132.11,,R00006 R03050 R03051 R03052,1.1.1.86        2.2.1.6         5.4.99.3,
C00902,2-Oxohexanoic acid;,C6H10O3,130.0630,130.14,,R03053,2.6.1.67,
C00903,Cinnamaldehyde,C9H8O,132.0575,132.16,map00940  Phenylpropanoid biosynthesis,R02506 R03054,1.1.1.195       1.2.1.44,
C00904,Citramalyl-CoA,C26H42N7O20P3S,897.1418,897.64,,R02490,4.2.1.56,
C00905,D-Fructuronate;,C6H10O7,194.0427,194.14,map00040  Pentose and glucuronate interconversions,R01482 R02454 R10848 R11624,1.1.1.57        1.1.1.380       5.1.2.7         5.3.1.12,
C00906,"5,6-Dihydrothymine;",C5H8N2O2,128.0586,128.13,,R01414,1.3.1.1,
C00908,Gentamicin C1a,C19H39N5O7,449.2849,449.54,"map00524  Neomycin, kanamycin and gentamicin biosynthesis",R03056 R11302,2.3.1.59,
C00909,Leukotriene A4;,C20H30O3,318.2195,318.45,map00590  Arachidonic acid metabolism,R03057 R03058 R03059 R08527,1.13.11.34      3.3.2.6         4.4.1.20,
C00911,Ribonucleoside,C5H9O4R,,,,R03060 R07297,3.1.3.5         3.1.3.6,
C00912,alpha-D-Glucan;,,,,,,,
C00913,3-Methyladenine,C6H7N5,149.0701,149.15,,,,
C00915,Benzyl viologen,C24H22N2,338.1783,338.44,,,,
C00916,Cephalosporin C,C16H21N3O8S,415.1049,415.42,map00311  Penicillin and cephalosporin biosynthesis,R03062 R03063 R03064 R07400,1.4.3.3         2.3.1.175       2.6.1.74        3.1.1.41,
C00917,Chelating agent;,,,,,,,
C00918,Chloramphenicol,C11H12Cl2N2O5,322.0123,323.13,,R03065 R12674,1.14.99.67      2.3.1.28,
C00919,Choline sulfate,C5H13NO4S,183.0565,183.23,map02010  ABC transporters,R01027 R01028,2.8.2.6         3.1.6.6,
C00920,CoA-glutathione;,C31H51N10O22P3S2,1072.1834,1072.85,,R01111 R05714,1.8.1.10        1.8.4.3,
C00921,Dihydropteroate;,C14H14N6O3,314.1127,314.30,map00790  Folate biosynthesis,R02237 R03066 R03067,2.5.1.15        6.3.2.12        6.3.2.17,
C00922,"2,3-Dimethylmaleate;",C6H8O4,144.0423,144.13,map00760  Nicotinate and nicotinamide metabolism,R03069 R03070,4.2.1.85        5.3.3.6,
C00923,Ferricytochrome,,,,,R00106 R03071 R09473,1.6.2.4         1.9.6.1         1.17.2.1,
C00924,Ferrocytochrome,,,,,R00106 R03071 R09473,1.6.2.4         1.9.6.1         1.17.2.1,
C00925,Heparan sulfate;,(C12H15NO10(R1)3(R2))n,,,map00531  Glycosaminoglycan degradation,R07811,3.2.1.166       3.2.1.-,
C00927,Isonocardicin A;,C23H24N4O9,500.1543,500.46,map00261  Monobactam biosynthesis,R03072 R03073,2.5.1.38        5.1.1.14,
C00928,Mercaptoethanol;,C2H6OS,78.0139,78.14,,,,
C00929,Oligonucleotide,C10H17O8PR2(C5H8O5PR)n,,,,,,
C00930,Oligosaccharide,(C12H20O11)n,,,,,,
C00931,Porphobilinogen,C10H14N2O4,226.0954,226.23,map00860  Porphyrin metabolism,R00036 R00084,2.5.1.61        4.2.1.24,
C00933,Sinapine;,C16H24NO5,310.1654,310.36,map00940  Phenylpropanoid biosynthesis,R02381 R03075,2.3.1.91        3.1.1.49,
C00934,Sugar phosphate,,,,,R00804 R03076,3.1.3.23,
C00935,UDP-L-arabinose;,C14H22N2O16P2,536.0445,536.28,map00520  Amino sugar and nucleotide sugar metabolism,R01473 R02636 R03077 R03079 R04335 R09009,2.4.2.34        2.7.7.64        4.1.1.67        5.1.3.5,
C00936,alpha-D-Mannose;,C6H12O6,180.0634,180.16,,R05984 R11544,3.2.1.114       3.2.1.197,
C00937,(R)-Lactaldehyde;,C3H6O2,74.0368,74.08,map00620  Pyruvate metabolism,R01735 R02527 R03080 R03081 R03082,1.1.1.77        1.1.1.78        1.1.1.79        1.2.1.23,
C00938,"1,3-beta-D-Xylan",(C5H8O5)n,,,,,,
C00939,2-Aminoadenosine,C10H14N6O4,282.1077,282.26,,,,
C00940,2-Oxoglutaramate;,C5H7NO4,145.0375,145.11,"map00250  Alanine, aspartate and glutamate metabolism",R00269 R00576 R01375 R02781 R08890 R08891 R12507,2.6.1.15        2.6.1.50        2.6.1.64        2.6.1.100,
C00941,"3',5'-Cyclic CMP;",C9H12N3O7P,305.0413,305.18,map00240  Pyrimidine metabolism,R00574,4.6.1.6,
C00942,"3',5'-Cyclic GMP;",C10H12N5O7P,345.0474,345.21,map00230  Purine metabolism,R00434 R01234,3.1.4.17        3.1.4.35        4.6.1.1         4.6.1.2,
C00943,"3',5'-Cyclic IMP;",C10H11N4O7P,330.0365,330.19,,R11619,3.5.4.46,
C00944,3-Dehydroquinate;,C7H10O6,190.0477,190.15,"map00400  Phenylalanine, tyrosine and tryptophan biosynthesis",R01872 R01873 R03083 R03084 R06846 R08569 R09322,1.1.1.24        1.1.1.282       1.1.5.8         1.4.1.24,
C00946,Adenosine 2'-phosphate;,C10H14N5O7P,347.0631,347.22,,,,
C00949,Cytochrome c-552,,,,,,,
C00950,Dithioerythritol;,C4H10O2S2,154.0122,154.26,,R05072,2.8.1.5,
C00951,Estradiol-17beta;,C18H24O2,272.1776,272.38,map00140  Steroid hormone biosynthesis,R00535 R02352 R02353 R03086 R03087 R03088 R03089 R03090,1.1.1.51        1.1.1.62        1.14.14.1       1.14.14.14,
C00952,Fibrinopeptide A,,,,,,,
C00954,Indole-3-acetate;,C10H9NO2,175.0633,175.18,map00380  Tryptophan metabolism,R02678 R02681 R03092 R03093 R03094 R03095 R03096 R03097,1.2.1.3         1.2.3.7         1.13.11.-       1.14.11.-,
C00955,Indole-3-ethanol;,C10H11NO,161.0841,161.20,map00380  Tryptophan metabolism,R02679 R02680,1.1.1.190       1.1.1.191,
C00956,L-2-Aminoadipate;,C6H11NO4,161.0688,161.16,map00300  Lysine biosynthesis,R01939 R03098 R03102 R03103 R04868 R04870 R06361 R09775,1.2.1.31        1.2.1.95        2.3.1.164       2.6.1.39,
C00957,Mercaptopyruvate;,C3H4O3S,119.9881,120.13,map00270  Cysteine and methionine metabolism,R00895 R00896 R03104 R03105 R12689,1.1.1.27        2.6.1.1         2.6.1.3         2.8.1.2,
C00958,Plasmenylcholine;,C11H21NO7PR2,,,map00565  Ether lipid metabolism,R03107 R03109 R03110 R07386,2.3.1.25        2.6.-.-         2.7.8.22        3.1.1.4,
C00959,Prostaglandin B1;,C20H32O4,336.2301,336.46,,,,
C00960,RNA 5'-phosphate,C10H18O13P2R2(C5H8O6PR)n,,,,,,
C00961,Sterigmatocystin,C18H12O6,324.0634,324.28,map00254  Aflatoxin biosynthesis,R03111 R03112,2.1.1.109       2.1.1.110,
C00962,beta-D-Galactose,C6H12O6,180.0634,180.16,,R01100 R06114 R12970,3.2.1.23        3.2.1.62        3.2.1.108,
C00963,beta-D-Glucoside,C6H11O6R,,,map00500  Starch and sucrose metabolism,R03526 R03527,2.4.1.35        3.2.1.21,
C00964,(-)-trans-Carveol,C10H16O,152.1201,152.23,map00902  Monoterpenoid biosynthesis,R02468 R03114,1.1.1.243       1.14.14.51,
C00965,"1,3-beta-D-Glucan;",(C6H10O5)n,,,map00500  Starch and sucrose metabolism,R00308 R03115 R03116 R03118,2.4.1.30        2.4.1.34        2.4.1.97        3.2.1.39,
C00966,2-Dehydropantoate,C6H10O4,146.0579,146.14,map00770  Pantothenate and CoA biosynthesis,R01216 R01226 R02472,1.1.1.169       2.1.2.11        4.1.2.12,
C00968,"3',5'-Cyclic dAMP",C10H12N5O5P,313.0576,313.21,,,,
C00969,3-Hydroxypropanal,C3H6O2,74.0368,74.08,map00561  Glycerolipid metabolism,R01047 R03119,1.1.1.202       4.2.1.30,
C00971,4-Pyridoxolactone;,C8H7NO3,165.0426,165.15,map00750  Vitamin B6 metabolism,R01707 R02992,1.1.1.107       3.1.1.27,
C00972,Aromatic oxo acid,C3H3O3R,,,,R03120 R03121,2.6.1.57        2.6.1.60,
C00973,Cyclomaltodextrin;,(C6H10O5)n,,,map00500  Starch and sucrose metabolism,R03122 R11260,2.4.1.19        3.2.1.54,
C00974,Dihydrokaempferol;,C15H12O6,288.0634,288.25,map00941  Flavonoid biosynthesis,R02444 R03123 R03124 R03125 R03126 R06540 R13068 R13071,1.1.1.219       1.14.11.9       1.14.14.81      1.14.14.82,
C00975,Dihydroxyfumarate;,C4H4O6,148.0008,148.07,map00630  Glyoxylate and dicarboxylate metabolism,R01390 R02544 R03127 R03128,1.3.1.7         4.1.1.54,
C00976,GDP-D-mannuronate;,C16H23N5O17P2,619.0564,619.32,map00051  Fructose and mannose metabolism,R00880 R03129 R08692,1.1.1.132       2.4.1.33,
C00977,L-Tryptophanamide,C11H13N3O,203.1059,203.24,,R00682,3.5.1.57,
C00978,N-Acetylserotonin;,C12H14N2O2,218.1055,218.25,map00380  Tryptophan metabolism,R02911 R03130,2.1.1.4         2.3.1.87,
C00979,O-Acetyl-L-serine;,C5H9NO4,147.0532,147.13,map00270  Cysteine and methionine metabolism,R00586 R00897 R03131 R03132 R03133 R03134 R03601 R04091,2.3.1.30        2.5.1.47        2.5.1.49        2.5.1.50,
C00980,Polyvinyl alcohol;,(C2H4O)n,,,,R03135 R03136,1.1.2.6         1.1.3.30,
C00982,Renilla luciferin;,C26H21N3O2,407.1634,407.46,,R03137 R03138,1.13.12.5       2.8.2.10,
C00984,alpha-D-Galactose,C6H12O6,180.0634,180.16,map00052  Galactose metabolism,R01092 R10619,2.7.1.6         5.1.3.3,
C00985,p-Mercuribenzoate;,C7H5HgO2R,,,,,,
C00986,"1,3-Diaminopropane;",C3H10N2,74.0844,74.13,"map00260  Glycine, serine and threonine metabolism",R01914 R01915 R01919 R03139 R03271 R05329 R07479 R07650,1.4.3.21        1.4.3.22        1.5.1.43        1.5.3.14,
C00988,2-Phosphoglycolate;,C2H5O6P,155.9824,156.03,map00630  Glyoxylate and dicarboxylate metabolism,R01334 R03140,3.1.3.18        4.1.1.39,
C00989,4-Hydroxybutanoic acid;,C4H8O3,104.0473,104.10,map00650  Butanoate metabolism,R01644 R05336 R09279 R09281 R10758,1.1.1.61        1.1.1.-         2.8.3.-         6.2.1.40,
C00990,5-Aminopentanamide,C5H12N2O,116.0950,116.16,map00310  Lysine degradation,R00449 R02273,1.13.12.2       3.5.1.30,
C00991,alpha-D-Aldose 1-phosphate;,,,,,R03142 R03143 R03149 R03570 R03986 R08845,2.7.7.28        2.7.7.36        2.7.7.37        2.7.7.64,
C00992,Aquacob(III)alamin;,C62H90CoN13O15P,1346.5749,1347.36,map00860  Porphyrin metabolism,R00097,,
C00993,D-Alanyl-D-alanine;,C6H12N2O3,160.0848,160.17,map00470  D-Amino acid metabolism,R01150 R04573 R04617 R07651,3.4.13.22       6.3.2.4         6.3.2.10,
C00994,D-Prephenyllactate,C13H14O8,298.0689,298.24,,,,
C00995,Ferricytochrome b1,,,,,R03146,1.2.2.1,
C00996,Ferricytochrome b5,,,,map00520  Amino sugar and nucleotide sugar metabolism,R00100 R01115 R01803 R02222 R03147 R03814 R04501 R04571,1.6.2.2         1.6.2.4         1.14.18.2       1.14.18.4,
C00997,Ferricytochrome c2,,,,,R00082 R00108 R00784 R09500,1.6.2.5         1.7.2.1         1.8.2.4         7.1.1.9,
C00998,Ferrocytochrome b1,,,,,R03146,1.2.2.1,
C00999,Ferrocytochrome b5,,,,map00520  Amino sugar and nucleotide sugar metabolism,R00100 R01115 R01803 R02222 R03147 R03814 R04501 R04571,1.6.2.2         1.6.2.4         1.14.18.2       1.14.18.4,
C01000,Ferrocytochrome c2,,,,,R00082 R00108 R00784 R09500,1.6.2.5         1.7.2.1         1.8.2.4         7.1.1.9,
